embedding,probe,score,conformal,alpha,eval,n_cal,n_eval,marginal_cov,tb_cov,nontb_cov,mean_size,singleton,empty,disparity,marg_lo95,marg_hi95,tb_lo95,tb_hi95
dinov2,linear,isotonic,APS,0.2,tbx11k_test,1260,5879,0.8512,0.0,0.9406,0.9223,0.9223,0.0777,0.9406,0.8512,0.8512,0.0,0.0
dinov2,linear,isotonic,APS,0.2,pakistan_ext,1260,3008,0.1682,0.0,0.9844,0.5941,0.5941,0.4059,0.9844,,,,
dinov2,linear,isotonic,Mondrian,0.2,tbx11k_test,1260,5879,0.817,0.8658,0.8118,1.3613,0.6387,0.0,0.054,0.808,0.9352,0.771,0.8837
dinov2,linear,isotonic,Mondrian,0.2,pakistan_ext,1260,3008,0.8637,0.8617,0.8735,1.2237,0.7763,0.0,0.0119,,,,
dinov2,mlp,raw,APS,0.05,tbx11k_test,1260,5879,0.9515,0.9857,0.9479,1.8699,0.1301,0.0,0.0378,0.9423,0.9643,0.9767,0.9911
dinov2,mlp,raw,APS,0.05,pakistan_ext,1260,3008,0.9648,0.9812,0.8852,1.5096,0.4904,0.0,0.0959,,,,
dinov2,mlp,raw,Mondrian,0.05,tbx11k_test,1260,5879,0.9529,0.941,0.9541,1.7561,0.2439,0.0,0.0132,0.9398,0.9641,0.8837,0.9928
dinov2,mlp,raw,Mondrian,0.05,pakistan_ext,1260,3008,0.9478,0.9575,0.9008,1.4967,0.5033,0.0,0.0567,,,,
dinov2,mlp,raw,APS,0.1,tbx11k_test,1260,5879,0.9005,0.966,0.8936,1.7443,0.2557,0.0,0.0724,0.8792,0.9207,0.9535,0.9714
dinov2,mlp,raw,APS,0.1,pakistan_ext,1260,3008,0.9338,0.9695,0.7607,1.3783,0.6217,0.0,0.2088,,,,
dinov2,mlp,raw,Mondrian,0.1,tbx11k_test,1260,5879,0.9015,0.8801,0.9038,1.5443,0.4557,0.0,0.0236,0.8818,0.9184,0.8229,0.941
dinov2,mlp,raw,Mondrian,0.1,pakistan_ext,1260,3008,0.8923,0.9158,0.7782,1.3368,0.6632,0.0,0.1376,,,,
dinov2,mlp,raw,APS,0.2,tbx11k_test,1260,5879,0.8107,0.9338,0.7977,1.5503,0.4497,0.0,0.1361,0.7889,0.8279,0.9267,0.9356
dinov2,mlp,raw,APS,0.2,pakistan_ext,1260,3008,0.8856,0.9507,0.57,1.252,0.748,0.0,0.3806,,,,
dinov2,mlp,raw,Mondrian,0.2,tbx11k_test,1260,5879,0.8066,0.7925,0.8081,1.2252,0.7748,0.0,0.0156,0.7872,0.8229,0.7263,0.8265
dinov2,mlp,raw,Mondrian,0.2,pakistan_ext,1260,3008,0.8102,0.8561,0.5875,1.1493,0.8507,0.0,0.2685,,,,
dinov2,mlp,isotonic,APS,0.05,tbx11k_test,1260,5879,0.9701,0.6923,0.9992,1.338,0.662,0.0,0.3069,0.9464,0.9701,0.4436,0.6923
dinov2,mlp,isotonic,APS,0.05,pakistan_ext,1260,3008,0.8411,0.8083,1.0,1.6692,0.3308,0.0,0.1917,,,,
dinov2,mlp,isotonic,Mondrian,0.05,tbx11k_test,1260,5879,0.9818,1.0,0.9799,1.9456,0.0544,0.0,0.0201,0.974,0.9818,0.9177,1.0
dinov2,mlp,isotonic,Mondrian,0.05,pakistan_ext,1260,3008,0.988,0.9924,0.9669,1.6513,0.3487,0.0,0.0255,,,,
dinov2,mlp,isotonic,APS,0.1,tbx11k_test,1260,5879,0.9058,0.1968,0.9803,0.9995,0.9995,0.0005,0.7835,0.8889,0.9228,0.0233,0.1968
dinov2,mlp,isotonic,APS,0.1,pakistan_ext,1260,3008,0.4983,0.4018,0.9669,0.9967,0.9967,0.0033,0.5652,,,,
dinov2,mlp,isotonic,Mondrian,0.1,tbx11k_test,1260,5879,0.9306,0.9177,0.932,1.6486,0.3514,0.0,0.0142,0.8905,0.9384,0.9177,1.0
dinov2,mlp,isotonic,Mondrian,0.1,pakistan_ext,1260,3008,0.9189,0.9346,0.8424,1.4172,0.5828,0.0,0.0922,,,,
dinov2,mlp,isotonic,APS,0.2,tbx11k_test,1260,5879,0.8052,0.0215,0.8876,0.8586,0.8586,0.1414,0.8661,0.7898,0.8454,0.0143,0.0215
dinov2,mlp,isotonic,APS,0.2,pakistan_ext,1260,3008,0.236,0.1311,0.7451,0.5076,0.5076,0.4924,0.614,,,,
dinov2,mlp,isotonic,Mondrian,0.2,tbx11k_test,1260,5879,0.8757,0.9177,0.8712,1.5804,0.4196,0.0,0.0465,0.858,0.8757,0.7317,0.9177
dinov2,mlp,isotonic,Mondrian,0.2,pakistan_ext,1260,3008,0.8966,0.9346,0.7121,1.3168,0.6832,0.0,0.2226,,,,
