embedding,probe,score,conformal,alpha,eval,n_cal,n_eval,marginal_cov,tb_cov,nontb_cov,mean_size,singleton,empty,disparity,marg_lo95,marg_hi95,tb_lo95,tb_hi95
rad_dino,mlp,raw,APS,0.2,pakistan_ext,1260,3008,0.9053,0.9374,0.749,1.1998,0.8002,0.0,0.1884,,,,
rad_dino,mlp,raw,Mondrian,0.2,tbx11k_test,1260,5879,0.8025,0.8032,0.8024,0.9138,0.9138,0.0862,0.0008,0.7826,0.8241,0.7174,0.9052
rad_dino,mlp,raw,Mondrian,0.2,pakistan_ext,1260,3008,0.6922,0.6736,0.7821,0.871,0.871,0.129,0.1085,,,,
rad_dino,mlp,isotonic,APS,0.05,tbx11k_test,1260,5879,0.957,0.6512,0.9891,1.0257,0.9743,0.0,0.3379,0.9451,0.957,0.6476,0.6512
rad_dino,mlp,isotonic,APS,0.05,pakistan_ext,1260,3008,0.4684,0.3589,1.0,1.1307,0.8693,0.0,0.6411,,,,
rad_dino,mlp,isotonic,Mondrian,0.05,tbx11k_test,1260,5879,0.9731,0.9839,0.972,1.5928,0.4072,0.0,0.0119,0.9588,0.9745,0.9678,0.9982
rad_dino,mlp,isotonic,Mondrian,0.05,pakistan_ext,1260,3008,0.9801,0.9771,0.9942,1.6559,0.3441,0.0,0.017,,,,
rad_dino,mlp,isotonic,APS,0.1,tbx11k_test,1260,5879,0.9063,0.4311,0.9562,0.9383,0.9383,0.0617,0.5251,0.894,0.9206,0.3971,0.4311
rad_dino,mlp,isotonic,APS,0.1,pakistan_ext,1260,3008,0.2892,0.1443,0.9922,0.7304,0.7304,0.2696,0.8479,,,,
rad_dino,mlp,isotonic,Mondrian,0.1,tbx11k_test,1260,5879,0.9483,0.9678,0.9462,1.421,0.579,0.0,0.0216,0.9025,0.9498,0.8676,0.9839
rad_dino,mlp,isotonic,Mondrian,0.1,pakistan_ext,1260,3008,0.9535,0.9467,0.9864,1.499,0.501,0.0,0.0397,,,,
rad_dino,mlp,isotonic,APS,0.2,tbx11k_test,1260,5879,0.8282,0.093,0.9055,0.8479,0.8479,0.1521,0.8124,0.8282,0.8422,0.093,0.2379
rad_dino,mlp,isotonic,APS,0.2,pakistan_ext,1260,3008,0.1692,0.0032,0.9747,0.4674,0.4674,0.5326,0.9715,,,,
rad_dino,mlp,isotonic,Mondrian,0.2,tbx11k_test,1260,5879,0.8086,0.8676,0.8024,0.9823,0.9823,0.0177,0.0652,0.7964,0.9019,0.7335,0.9678
rad_dino,mlp,isotonic,Mondrian,0.2,pakistan_ext,1260,3008,0.7753,0.7739,0.7821,0.9777,0.9777,0.0223,0.0082,,,,
biomedclip,linear,raw,APS,0.05,tbx11k_test,1260,5879,0.9413,0.9714,0.9382,1.8564,0.1436,0.0,0.0332,0.9284,0.9534,0.966,0.9803
biomedclip,linear,raw,APS,0.05,pakistan_ext,1260,3008,0.995,0.9964,0.9883,1.3833,0.6167,0.0,0.0081,,,,
biomedclip,linear,raw,Mondrian,0.05,tbx11k_test,1260,5879,0.9394,0.9213,0.9414,1.6532,0.3468,0.0,0.0201,0.9287,0.9599,0.8623,0.966
biomedclip,linear,raw,Mondrian,0.05,pakistan_ext,1260,3008,0.986,0.9856,0.9883,1.367,0.633,0.0,0.0028,,,,
biomedclip,linear,raw,APS,0.1,tbx11k_test,1260,5879,0.9,0.9499,0.8947,1.702,0.298,0.0,0.0552,0.8818,0.9138,0.9374,0.9624
biomedclip,linear,raw,APS,0.1,pakistan_ext,1260,3008,0.9834,0.9896,0.9533,1.2916,0.7084,0.0,0.0363,,,,
biomedclip,linear,raw,Mondrian,0.1,tbx11k_test,1260,5879,0.8959,0.8551,0.9002,1.4419,0.5581,0.0,0.0451,0.8804,0.9099,0.8301,0.9213
biomedclip,linear,raw,Mondrian,0.1,pakistan_ext,1260,3008,0.9754,0.9791,0.9572,1.259,0.741,0.0,0.022,,,,
biomedclip,linear,raw,APS,0.2,tbx11k_test,1260,5879,0.8059,0.8551,0.8008,1.3322,0.6678,0.0,0.0543,0.7874,0.8233,0.8408,0.8712
biomedclip,linear,raw,APS,0.2,pakistan_ext,1260,3008,0.9435,0.9791,0.7704,1.1503,0.8497,0.0,0.2087,,,,
biomedclip,linear,raw,Mondrian,0.2,tbx11k_test,1260,5879,0.8029,0.7621,0.8071,1.1922,0.8078,0.0,0.0451,0.7843,0.825,0.6816,0.8444
biomedclip,linear,raw,Mondrian,0.2,pakistan_ext,1260,3008,0.9322,0.9627,0.784,1.1114,0.8886,0.0,0.1787,,,,
biomedclip,linear,isotonic,APS,0.05,tbx11k_test,1260,5879,0.9495,0.483,0.9985,1.1861,0.8139,0.0,0.5155,0.9495,0.9631,0.483,0.6261
biomedclip,linear,isotonic,APS,0.05,pakistan_ext,1260,3008,0.8989,0.8781,1.0,1.5529,0.4471,0.0,0.1219,,,,
biomedclip,linear,isotonic,Mondrian,0.05,tbx11k_test,1260,5879,0.9439,0.9463,0.9436,1.7496,0.2504,0.0,0.0027,0.9369,0.9833,0.873,1.0
biomedclip,linear,isotonic,Mondrian,0.05,pakistan_ext,1260,3008,0.9894,0.9892,0.9903,1.3793,0.6207,0.0,0.0011,,,,
biomedclip,linear,isotonic,APS,0.1,tbx11k_test,1260,5879,0.9054,0.068,0.9934,0.9976,0.9976,0.0024,0.9254,0.8954,0.9258,0.0215,0.2343
biomedclip,linear,isotonic,APS,0.1,pakistan_ext,1260,3008,0.506,0.4042,1.0,0.9797,0.9797,0.0203,0.5958,,,,
biomedclip,linear,isotonic,Mondrian,0.1,tbx11k_test,1260,5879,0.9303,0.873,0.9363,1.527,0.473,0.0,0.0633,0.9303,0.9372,0.873,0.9463
biomedclip,linear,isotonic,Mondrian,0.1,pakistan_ext,1260,3008,0.9817,0.9808,0.9864,1.3338,0.6662,0.0,0.0056,,,,
biomedclip,linear,isotonic,APS,0.2,tbx11k_test,1260,5879,0.8493,0.0215,0.9363,0.9182,0.9182,0.0818,0.9148,0.8493,0.8493,0.0215,0.0215
biomedclip,linear,isotonic,APS,0.2,pakistan_ext,1260,3008,0.3654,0.2374,0.9864,0.5818,0.5818,0.4182,0.749,,,,
biomedclip,linear,isotonic,Mondrian,0.2,tbx11k_test,1260,5879,0.8352,0.78,0.841,1.2524,0.7476,0.0,0.061,0.8279,0.844,0.703,0.873
biomedclip,linear,isotonic,Mondrian,0.2,pakistan_ext,1260,3008,0.9491,0.9651,0.8716,1.1559,0.8441,0.0,0.0935,,,,
biomedclip,mlp,raw,APS,0.05,tbx11k_test,1260,5879,0.9493,1.0,0.944,1.9255,0.0745,0.0,0.056,0.9393,0.965,1.0,1.0
biomedclip,mlp,raw,APS,0.05,pakistan_ext,1260,3008,0.9963,1.0,0.9786,1.3933,0.6067,0.0,0.0214,,,,
