baseline,auroc,auprc
Random,0.5006,0.0989
Prevalence (0.49),0.5,0.0951
Simple stats (5 features),0.6477,0.1391
PCA-10 (dimensionality proxy),0.9337,0.7424
RAD-DINO + linear (primary),0.9155,0.6488
