method,auroc,marginal_cov,tb_cov,nontb_cov,mean_size,singleton,empty,disparity
no_tta,0.9138,0.9136,0.9249,0.9124,1.2671,0.7329,0.0,0.0125
tta_k5,0.9128,0.9148,0.932,0.913,1.2781,0.7219,0.0,0.0191
