seed,n_cal,marginal_cov,tb_cov,nontb_cov,mean_size,singleton,empty,disparity
42,1260,0.9136,0.9249,0.9124,1.2671,0.7329,0.0,0.0125
123,1260,0.8927,0.9106,0.8908,1.1881,0.8119,0.0,0.0198
456,1260,0.9,0.9249,0.8974,1.2512,0.7488,0.0,0.0275
789,1260,0.9017,0.9088,0.9009,1.1949,0.8051,0.0,0.0078
1024,1260,0.9161,0.9249,0.9152,1.2682,0.7318,0.0,0.0096
2025,1260,0.9013,0.9106,0.9004,1.1994,0.8006,0.0,0.0102
7,1260,0.9005,0.9428,0.8961,1.314,0.686,0.0,0.0467
31337,1260,0.8983,0.9338,0.8945,1.2737,0.7263,0.0,0.0393
