metric,mean,ci_lower,ci_upper
AUROC,0.915579487799758,0.90262598688033,0.9277903921455117
AUPRC,0.6495293725511667,0.6075798169873265,0.6886648664768839
TB_coverage,0.9409296189651981,0.9198506242271948,0.9603603603603603
Singleton,0.853206072461303,0.8441911889777173,0.8618812723252254
CRC_sensitivity,0.9409296189651981,0.9198506242271948,0.9603603603603603
CRC_specificity,0.5836427625639367,0.5703841171736715,0.5967627325875742
