resplit,tb_coverage
0,0.7425506555423123
1,0.7485101311084624
2,0.7818831942789034
3,0.6185935637663885
4,0.7711561382598331
5,0.734207389749702
6,0.799761620977354
7,0.734207389749702
8,0.7294398092967819
9,0.7485101311084624
10,0.6936829558998808
11,0.7020262216924911
12,0.7544696066746126
13,0.7878426698450537
14,0.7318235995232419
15,0.7866507747318237
16,0.7914183551847438
17,0.7210965435041716
18,0.8414779499404053
19,0.7485101311084624
20,0.7961859356376639
21,0.7401668653158522
22,0.7842669845053635
23,0.6841477949940405
24,0.7735399284862932
25,0.7914183551847438
26,0.7199046483909416
27,0.7556615017878426
28,0.7699642431466031
29,0.7139451728247914
30,0.7163289630512515
31,0.7282479141835518
32,0.7401668653158522
33,0.7139451728247914
34,0.7115613825983313
35,0.797377830750894
36,0.7735399284862932
37,0.66507747318236
38,0.698450536352801
39,0.8307508939213349
40,0.7711561382598331
41,0.7568533969010727
42,0.7806912991656734
43,0.7270560190703218
44,0.7485101311084624
45,0.6769964243146603
46,0.8021454112038141
47,0.7628128724672228
48,0.7497020262216925
49,0.7413587604290822
50,0.7246722288438617
51,0.7842669845053635
52,0.6495828367103695
53,0.7508939213349225
54,0.7437425506555423
55,0.7842669845053635
56,0.8212157330154947
57,0.7759237187127532
58,0.7437425506555423
59,0.7222884386174017
60,0.700834326579261
61,0.7497020262216925
62,0.7616209773539928
63,0.7842669845053635
64,0.6495828367103695
65,0.7461263408820024
66,0.8021454112038141
67,0.7711561382598331
68,0.733015494636472
69,0.799761620977354
70,0.7794994040524433
71,0.7389749702026222
72,0.8188319427890346
73,0.7771156138259833
74,0.7699642431466031
75,0.7425506555423123
76,0.7163289630512515
77,0.7592371871275327
78,0.7449344457687723
79,0.7783075089392133
80,0.6758045292014303
81,0.7830750893921334
82,0.7830750893921334
83,0.8414779499404053
84,0.7866507747318237
85,0.7890345649582837
86,0.7520858164481525
87,0.7461263408820024
88,0.7079856972586412
89,0.7056019070321812
90,0.7199046483909416
91,0.834326579261025
92,0.7842669845053635
93,0.7735399284862932
94,0.7056019070321812
95,0.7163289630512515
96,0.8402860548271752
97,0.7735399284862932
98,0.7461263408820024
99,0.7818831942789034
100,0.7103694874851013
101,0.7651966626936829
102,0.733015494636472
103,0.6769964243146603
104,0.7532777115613826
105,0.7401668653158522
106,0.8116805721096544
107,0.735399284862932
108,0.6948748510131109
109,0.8402860548271752
110,0.7616209773539928
111,0.7890345649582837
112,0.7246722288438617
113,0.7580452920143027
114,0.7485101311084624
115,0.7735399284862932
116,0.7794994040524433
117,0.7818831942789034
118,0.733015494636472
119,0.7389749702026222
120,0.7926102502979738
121,0.7282479141835518
122,0.7902264600715138
123,0.7640047675804529
124,0.7294398092967819
125,0.8116805721096544
126,0.7056019070321812
127,0.6686531585220501
128,0.799761620977354
129,0.7866507747318237
130,0.7783075089392133
131,0.7580452920143027
132,0.7210965435041716
133,0.7771156138259833
134,0.797377830750894
135,0.7544696066746126
136,0.7640047675804529
137,0.7377830750893921
138,0.7389749702026222
139,0.7187127532777116
140,0.7234803337306317
141,0.733015494636472
142,0.6841477949940405
143,0.7747318235995232
144,0.7175208581644815
145,0.7425506555423123
146,0.7830750893921334
147,0.6924910607866508
148,0.8295589988081049
149,0.7199046483909416
150,0.7842669845053635
151,0.8033373063170441
152,0.7735399284862932
153,0.766388557806913
154,0.7628128724672228
155,0.7806912991656734
156,0.7651966626936829
157,0.766388557806913
158,0.7258641239570918
159,0.8283671036948749
160,0.7139451728247914
161,0.7794994040524433
162,0.7187127532777116
163,0.7056019070321812
164,0.7127532777115614
165,0.7842669845053635
166,0.7497020262216925
167,0.8438617401668653
168,0.7020262216924911
169,0.7473182359952324
170,0.7699642431466031
171,0.7556615017878426
172,0.7199046483909416
173,0.7485101311084624
174,0.7485101311084624
175,0.7127532777115614
176,0.7854588796185935
177,0.7485101311084624
178,0.7234803337306317
179,0.7163289630512515
180,0.7497020262216925
181,0.7091775923718713
182,0.6758045292014303
183,0.7199046483909416
184,0.8224076281287247
185,0.734207389749702
186,0.7115613825983313
187,0.7616209773539928
188,0.7091775923718713
189,0.7878426698450537
190,0.7067938021454112
191,0.797377830750894
192,0.7806912991656734
193,0.7163289630512515
194,0.8069129916567342
195,0.7258641239570918
196,0.8307508939213349
197,0.8390941597139452
198,0.7294398092967819
199,0.8259833134684148
