embedding,fpr,tpr
rad_dino,0.025376,0.52415
rad_dino,0.025376,0.525939
rad_dino,0.025752,0.525939
rad_dino,0.025752,0.531306
rad_dino,0.02594,0.531306
rad_dino,0.02594,0.533095
rad_dino,0.026316,0.533095
rad_dino,0.026316,0.534884
rad_dino,0.026504,0.534884
rad_dino,0.02688,0.534884
rad_dino,0.02688,0.538462
rad_dino,0.027068,0.538462
rad_dino,0.027068,0.54025
rad_dino,0.027256,0.54025
rad_dino,0.027256,0.543828
rad_dino,0.027444,0.543828
rad_dino,0.027444,0.547406
rad_dino,0.02782,0.547406
rad_dino,0.02782,0.549195
rad_dino,0.028195,0.549195
rad_dino,0.028195,0.550984
rad_dino,0.028571,0.550984
rad_dino,0.028571,0.554562
rad_dino,0.028759,0.554562
rad_dino,0.028759,0.556351
rad_dino,0.029323,0.556351
rad_dino,0.029323,0.55814
rad_dino,0.029511,0.55814
rad_dino,0.029511,0.559928
rad_dino,0.030075,0.559928
rad_dino,0.030075,0.563506
rad_dino,0.030263,0.563506
rad_dino,0.030263,0.568873
rad_dino,0.030451,0.568873
rad_dino,0.030451,0.572451
rad_dino,0.030639,0.572451
rad_dino,0.030639,0.576029
rad_dino,0.030827,0.576029
rad_dino,0.030827,0.579606
rad_dino,0.031015,0.579606
rad_dino,0.031015,0.584973
rad_dino,0.031391,0.584973
rad_dino,0.031391,0.586762
rad_dino,0.031767,0.586762
rad_dino,0.031767,0.59034
rad_dino,0.031955,0.59034
rad_dino,0.031955,0.592129
rad_dino,0.032519,0.592129
rad_dino,0.032519,0.593918
rad_dino,0.032707,0.593918
rad_dino,0.032707,0.595707
rad_dino,0.032895,0.595707
rad_dino,0.032895,0.597496
rad_dino,0.033459,0.597496
rad_dino,0.033459,0.599284
rad_dino,0.033647,0.599284
rad_dino,0.033647,0.601073
rad_dino,0.034211,0.601073
rad_dino,0.034211,0.602862
rad_dino,0.034586,0.602862
rad_dino,0.034586,0.604651
rad_dino,0.03515,0.604651
rad_dino,0.03515,0.60644
rad_dino,0.035526,0.60644
rad_dino,0.035526,0.608229
rad_dino,0.035714,0.608229
rad_dino,0.035714,0.610018
rad_dino,0.03703,0.610018
rad_dino,0.03703,0.611807
rad_dino,0.037594,0.611807
rad_dino,0.037594,0.613596
rad_dino,0.038346,0.613596
rad_dino,0.038346,0.615385
rad_dino,0.039098,0.615385
rad_dino,0.039098,0.617174
rad_dino,0.039662,0.617174
rad_dino,0.039662,0.620751
rad_dino,0.03985,0.620751
rad_dino,0.03985,0.62254
rad_dino,0.040226,0.62254
rad_dino,0.040226,0.624329
rad_dino,0.040789,0.624329
rad_dino,0.040789,0.626118
rad_dino,0.041541,0.626118
rad_dino,0.041541,0.627907
rad_dino,0.041729,0.627907
rad_dino,0.041729,0.631485
rad_dino,0.042105,0.631485
rad_dino,0.042105,0.633274
rad_dino,0.042481,0.633274
rad_dino,0.042481,0.63864
rad_dino,0.042669,0.63864
rad_dino,0.042669,0.644007
rad_dino,0.043045,0.644007
rad_dino,0.043045,0.645796
rad_dino,0.043421,0.645796
rad_dino,0.043421,0.649374
rad_dino,0.044361,0.649374
rad_dino,0.044361,0.651163
rad_dino,0.044925,0.651163
rad_dino,0.044925,0.652952
rad_dino,0.045301,0.652952
rad_dino,0.045301,0.654741
rad_dino,0.046617,0.654741
rad_dino,0.046617,0.65653
rad_dino,0.047368,0.65653
rad_dino,0.047368,0.658318
rad_dino,0.047932,0.658318
rad_dino,0.047932,0.660107
rad_dino,0.04812,0.660107
rad_dino,0.04812,0.661896
rad_dino,0.048308,0.661896
rad_dino,0.048308,0.663685
rad_dino,0.048496,0.663685
rad_dino,0.048872,0.663685
rad_dino,0.04906,0.663685
rad_dino,0.04906,0.665474
rad_dino,0.049624,0.665474
rad_dino,0.049624,0.667263
rad_dino,0.05094,0.667263
rad_dino,0.05094,0.67263
rad_dino,0.051128,0.67263
rad_dino,0.051128,0.676208
rad_dino,0.051504,0.676208
rad_dino,0.051504,0.681574
rad_dino,0.053759,0.681574
rad_dino,0.053759,0.683363
rad_dino,0.054699,0.683363
rad_dino,0.054699,0.685152
rad_dino,0.055075,0.685152
rad_dino,0.055075,0.686941
rad_dino,0.055639,0.686941
rad_dino,0.055639,0.68873
rad_dino,0.056015,0.68873
rad_dino,0.056015,0.690519
rad_dino,0.056391,0.690519
rad_dino,0.056391,0.692308
rad_dino,0.056579,0.692308
rad_dino,0.056579,0.694097
rad_dino,0.056767,0.694097
rad_dino,0.056767,0.695886
rad_dino,0.057519,0.695886
rad_dino,0.057519,0.697674
rad_dino,0.057707,0.697674
rad_dino,0.057707,0.699463
rad_dino,0.058459,0.699463
rad_dino,0.058459,0.703041
rad_dino,0.059398,0.703041
rad_dino,0.059398,0.70483
rad_dino,0.059962,0.70483
rad_dino,0.059962,0.706619
rad_dino,0.060714,0.706619
rad_dino,0.06109,0.706619
rad_dino,0.061466,0.706619
rad_dino,0.061466,0.708408
rad_dino,0.062406,0.708408
rad_dino,0.062406,0.710197
rad_dino,0.06297,0.710197
rad_dino,0.06297,0.711986
rad_dino,0.063346,0.711986
rad_dino,0.064662,0.711986
rad_dino,0.064662,0.713775
rad_dino,0.067481,0.713775
rad_dino,0.067481,0.715564
rad_dino,0.068609,0.715564
rad_dino,0.068609,0.717352
rad_dino,0.069549,0.717352
rad_dino,0.069549,0.719141
rad_dino,0.069925,0.719141
rad_dino,0.069925,0.72093
rad_dino,0.070677,0.72093
rad_dino,0.070677,0.724508
rad_dino,0.072368,0.724508
rad_dino,0.072368,0.726297
rad_dino,0.072744,0.726297
rad_dino,0.07312,0.726297
rad_dino,0.075,0.726297
rad_dino,0.075,0.731664
rad_dino,0.075376,0.731664
rad_dino,0.078008,0.731664
rad_dino,0.078008,0.733453
rad_dino,0.079323,0.733453
rad_dino,0.079323,0.73703
rad_dino,0.079511,0.73703
rad_dino,0.079511,0.740608
rad_dino,0.079887,0.740608
rad_dino,0.079887,0.742397
rad_dino,0.081767,0.742397
rad_dino,0.081767,0.744186
rad_dino,0.082707,0.744186
rad_dino,0.082707,0.747764
rad_dino,0.083271,0.747764
rad_dino,0.083271,0.749553
rad_dino,0.083647,0.749553
rad_dino,0.084023,0.749553
rad_dino,0.084774,0.749553
rad_dino,0.084774,0.751342
rad_dino,0.084962,0.751342
rad_dino,0.084962,0.753131
rad_dino,0.085902,0.753131
rad_dino,0.085902,0.754919
rad_dino,0.087406,0.754919
rad_dino,0.087406,0.756708
rad_dino,0.087782,0.756708
rad_dino,0.087782,0.760286
rad_dino,0.08797,0.760286
rad_dino,0.08797,0.762075
rad_dino,0.089286,0.762075
rad_dino,0.089286,0.763864
rad_dino,0.089474,0.763864
rad_dino,0.089474,0.767442
rad_dino,0.090414,0.767442
