embedding,recall,precision
rad_dino,0.989267,0.139611
rad_dino,0.989267,0.14
rad_dino,0.989267,0.140391
rad_dino,0.989267,0.140784
rad_dino,0.989267,0.141179
rad_dino,0.987478,0.141321
rad_dino,0.987478,0.14172
rad_dino,0.985689,0.141864
rad_dino,0.985689,0.142267
rad_dino,0.985689,0.142672
rad_dino,0.985689,0.143117
rad_dino,0.985689,0.143564
rad_dino,0.985689,0.143977
rad_dino,0.985689,0.144392
rad_dino,0.985689,0.144809
rad_dino,0.985689,0.145229
rad_dino,0.985689,0.145652
rad_dino,0.985689,0.146076
rad_dino,0.985689,0.146504
rad_dino,0.985689,0.146933
rad_dino,0.985689,0.147366
rad_dino,0.985689,0.1478
rad_dino,0.985689,0.148238
rad_dino,0.985689,0.148678
rad_dino,0.985689,0.14912
rad_dino,0.985689,0.149566
rad_dino,0.985689,0.150014
rad_dino,0.985689,0.150464
rad_dino,0.985689,0.150918
rad_dino,0.985689,0.151374
rad_dino,0.985689,0.151832
rad_dino,0.985689,0.152336
rad_dino,0.9839,0.152524
rad_dino,0.9839,0.153033
rad_dino,0.9839,0.153503
rad_dino,0.982111,0.153738
rad_dino,0.982111,0.154257
rad_dino,0.982111,0.154735
rad_dino,0.982111,0.155216
rad_dino,0.982111,0.155701
rad_dino,0.982111,0.156188
rad_dino,0.982111,0.156678
rad_dino,0.982111,0.157171
rad_dino,0.980322,0.157381
rad_dino,0.980322,0.15788
rad_dino,0.980322,0.158382
rad_dino,0.980322,0.158887
rad_dino,0.978533,0.159104
rad_dino,0.978533,0.159615
rad_dino,0.978533,0.160129
rad_dino,0.978533,0.160646
rad_dino,0.978533,0.161167
rad_dino,0.978533,0.161691
rad_dino,0.978533,0.162218
rad_dino,0.978533,0.162749
rad_dino,0.978533,0.163284
rad_dino,0.976744,0.163571
rad_dino,0.976744,0.164161
rad_dino,0.976744,0.164855
rad_dino,0.976744,0.165404
rad_dino,0.974955,0.165653
rad_dino,0.974955,0.166209
rad_dino,0.973166,0.166463
rad_dino,0.971377,0.166718
rad_dino,0.969589,0.166975
rad_dino,0.969589,0.167543
rad_dino,0.969589,0.168114
rad_dino,0.969589,0.16869
rad_dino,0.969589,0.169269
rad_dino,0.969589,0.169853
rad_dino,0.9678,0.170179
rad_dino,0.966011,0.170455
rad_dino,0.964222,0.170732
rad_dino,0.964222,0.171329
rad_dino,0.964222,0.17193
rad_dino,0.964222,0.172535
rad_dino,0.964222,0.173145
rad_dino,0.964222,0.173759
rad_dino,0.962433,0.174054
rad_dino,0.960644,0.174351
rad_dino,0.960644,0.174976
rad_dino,0.958855,0.175278
rad_dino,0.958855,0.175911
rad_dino,0.958855,0.176548
rad_dino,0.958855,0.17719
rad_dino,0.958855,0.177837
rad_dino,0.958855,0.178488
rad_dino,0.958855,0.179144
rad_dino,0.957066,0.17947
rad_dino,0.957066,0.180135
rad_dino,0.957066,0.180804
rad_dino,0.957066,0.181479
rad_dino,0.957066,0.182159
rad_dino,0.957066,0.182843
rad_dino,0.957066,0.183533
rad_dino,0.955277,0.183948
rad_dino,0.953488,0.184302
rad_dino,0.953488,0.185005
rad_dino,0.951699,0.185366
rad_dino,0.949911,0.185729
rad_dino,0.949911,0.186447
rad_dino,0.946333,0.186465
rad_dino,0.946333,0.18719
rad_dino,0.946333,0.187922
rad_dino,0.946333,0.188726
rad_dino,0.946333,0.18947
rad_dino,0.944544,0.18986
rad_dino,0.942755,0.190253
rad_dino,0.940966,0.190649
rad_dino,0.940966,0.191412
rad_dino,0.940966,0.192251
rad_dino,0.940966,0.193028
rad_dino,0.940966,0.193953
rad_dino,0.940966,0.194743
rad_dino,0.940966,0.195539
rad_dino,0.940966,0.196342
rad_dino,0.939177,0.196777
rad_dino,0.939177,0.197591
rad_dino,0.937388,0.198035
rad_dino,0.937388,0.198937
rad_dino,0.935599,0.19939
rad_dino,0.935599,0.20023
rad_dino,0.935599,0.201077
rad_dino,0.935599,0.201931
rad_dino,0.935599,0.202792
rad_dino,0.935599,0.20366
rad_dino,0.93381,0.204145
rad_dino,0.93381,0.205108
rad_dino,0.93381,0.205998
rad_dino,0.93381,0.206897
rad_dino,0.93381,0.207803
rad_dino,0.932021,0.208317
rad_dino,0.932021,0.209237
rad_dino,0.932021,0.210165
rad_dino,0.932021,0.211102
rad_dino,0.930233,0.21164
rad_dino,0.930233,0.212592
rad_dino,0.930233,0.213552
rad_dino,0.928444,0.214109
rad_dino,0.928444,0.215085
rad_dino,0.926655,0.215654
rad_dino,0.926655,0.216646
rad_dino,0.926655,0.217647
rad_dino,0.926655,0.21875
rad_dino,0.924866,0.219347
rad_dino,0.924866,0.220375
rad_dino,0.924866,0.221508
rad_dino,0.924866,0.222557
rad_dino,0.923077,0.22328
rad_dino,0.921288,0.223913
rad_dino,0.921288,0.224989
rad_dino,0.91771,0.225198
rad_dino,0.91771,0.22629
rad_dino,0.91771,0.227394
rad_dino,0.91771,0.228508
rad_dino,0.914132,0.228738
rad_dino,0.914132,0.22987
rad_dino,0.912343,0.230561
rad_dino,0.912343,0.231713
rad_dino,0.912343,0.232877
rad_dino,0.912343,0.234052
rad_dino,0.912343,0.23524
rad_dino,0.912343,0.236439
rad_dino,0.910555,0.237185
rad_dino,0.910555,0.238519
rad_dino,0.910555,0.239755
rad_dino,0.910555,0.241004
rad_dino,0.910555,0.242381
rad_dino,0.910555,0.243657
rad_dino,0.908766,0.244466
rad_dino,0.906977,0.245283
rad_dino,0.906977,0.246595
rad_dino,0.905188,0.247433
rad_dino,0.905188,0.248771
rad_dino,0.903399,0.249629
rad_dino,0.90161,0.250497
rad_dino,0.90161,0.251874
rad_dino,0.90161,0.253266
rad_dino,0.899821,0.254169
rad_dino,0.899821,0.255589
rad_dino,0.899821,0.257157
rad_dino,0.898032,0.258098
rad_dino,0.898032,0.259834
rad_dino,0.894454,0.260281
rad_dino,0.894454,0.26178
rad_dino,0.894454,0.263296
rad_dino,0.894454,0.264831
rad_dino,0.894454,0.266383
rad_dino,0.894454,0.267953
rad_dino,0.894454,0.269542
rad_dino,0.894454,0.271297
rad_dino,0.894454,0.272926
rad_dino,0.894454,0.274574
rad_dino,0.892665,0.275996
rad_dino,0.892665,0.277685
rad_dino,0.892665,0.279395
rad_dino,0.889088,0.28
rad_dino,0.889088,0.281746
rad_dino,0.889088,0.283676
rad_dino,0.889088,0.285468
rad_dino,0.883721,0.285714
rad_dino,0.881932,0.286962
rad_dino,0.878354,0.287639
rad_dino,0.878354,0.289505
rad_dino,0.878354,0.291568
rad_dino,0.876565,0.292887
rad_dino,0.876565,0.294826
rad_dino,0.876565,0.29679
rad_dino,0.876565,0.29878
rad_dino,0.876565,0.300798
rad_dino,0.876565,0.302843
rad_dino,0.874776,0.304294
rad_dino,0.872987,0.305764
rad_dino,0.872987,0.307886
rad_dino,0.872987,0.310038
rad_dino,0.871199,0.31178
rad_dino,0.867621,0.312701
rad_dino,0.865832,0.314286
rad_dino,0.865832,0.316547
rad_dino,0.862254,0.317523
rad_dino,0.862254,0.319841
rad_dino,0.862254,0.322408
rad_dino,0.860465,0.324124
rad_dino,0.856887,0.325187
rad_dino,0.855098,0.326949
rad_dino,0.853309,0.328739
rad_dino,0.853309,0.33125
rad_dino,0.849732,0.3324
rad_dino,0.846154,0.333568
rad_dino,0.842576,0.334755
rad_dino,0.842576,0.337393
rad_dino,0.842576,0.340072
rad_dino,0.840787,0.342067
rad_dino,0.838998,0.344094
rad_dino,0.838998,0.346893
rad_dino,0.837209,0.348993
rad_dino,0.83542,0.351392
rad_dino,0.83542,0.354594
rad_dino,0.83542,0.35758
rad_dino,0.83542,0.360618
rad_dino,0.833631,0.362928
rad_dino,0.833631,0.366064
rad_dino,0.831843,0.368463
rad_dino,0.828265,0.370104
rad_dino,0.828265,0.373387
rad_dino,0.822898,0.374288
rad_dino,0.821109,0.376847
rad_dino,0.817531,0.378625
rad_dino,0.813953,0.380435
rad_dino,0.812165,0.383446
rad_dino,0.812165,0.387042
rad_dino,0.808587,0.388985
rad_dino,0.805009,0.390964
rad_dino,0.805009,0.394737
rad_dino,0.805009,0.398583
rad_dino,0.801431,0.400716
rad_dino,0.801431,0.404697
rad_dino,0.799642,0.407847
rad_dino,0.797853,0.41106
rad_dino,0.794275,0.413408
rad_dino,0.790698,0.416196
rad_dino,0.78712,0.419447
rad_dino,0.78712,0.424301
rad_dino,0.785331,0.428293
rad_dino,0.783542,0.431953
rad_dino,0.781753,0.435693
rad_dino,0.781753,0.440969
rad_dino,0.781753,0.446374
rad_dino,0.776386,0.448347
rad_dino,0.774597,0.452456
rad_dino,0.774597,0.457717
rad_dino,0.774597,0.463102
rad_dino,0.77102,0.46645
rad_dino,0.77102,0.47207
rad_dino,0.763864,0.473392
rad_dino,0.758497,0.47587
rad_dino,0.754919,0.479545
rad_dino,0.749553,0.482163
rad_dino,0.745975,0.486581
rad_dino,0.742397,0.490544
rad_dino,0.73703,0.493413
rad_dino,0.731664,0.496359
rad_dino,0.731664,0.503075
rad_dino,0.726297,0.506866
rad_dino,0.724508,0.513308
rad_dino,0.72093,0.517995
rad_dino,0.717352,0.522816
rad_dino,0.713775,0.527778
rad_dino,0.713775,0.53557
rad_dino,0.711986,0.542974
rad_dino,0.706619,0.547091
rad_dino,0.70483,0.55493
rad_dino,0.699463,0.559371
rad_dino,0.692308,0.5625
rad_dino,0.686941,0.567208
rad_dino,0.681574,0.572072
rad_dino,0.681574,0.581679
rad_dino,0.667263,0.579193
rad_dino,0.665474,0.587678
rad_dino,0.658318,0.592593
rad_dino,0.654741,0.6
rad_dino,0.649374,0.60601
rad_dino,0.644007,0.612245
rad_dino,0.631485,0.611785
rad_dino,0.624329,0.616608
rad_dino,0.617174,0.621622
rad_dino,0.613596,0.630515
rad_dino,0.610018,0.639775
rad_dino,0.604651,0.64751
rad_dino,0.597496,0.65362
rad_dino,0.59034,0.66
rad_dino,0.579606,0.662577
rad_dino,0.567084,0.66318
rad_dino,0.556351,0.665953
rad_dino,0.549195,0.674725
rad_dino,0.536673,0.677201
rad_dino,0.525939,0.682135
rad_dino,0.518784,0.690476
rad_dino,0.509839,0.696822
rad_dino,0.500894,0.703518
rad_dino,0.488372,0.705426
rad_dino,0.477639,0.710106
rad_dino,0.468694,0.71978
rad_dino,0.45975,0.728045
rad_dino,0.450805,0.736842
rad_dino,0.44186,0.746224
rad_dino,0.434705,0.759375
rad_dino,0.420394,0.760518
rad_dino,0.407871,0.765101
rad_dino,0.397138,0.773519
rad_dino,0.386404,0.782609
rad_dino,0.370304,0.781132
rad_dino,0.354204,0.779528
rad_dino,0.341682,0.786008
rad_dino,0.323792,0.780172
rad_dino,0.31127,0.78733
rad_dino,0.300537,0.803828
rad_dino,0.288014,0.813131
rad_dino,0.275492,0.823529
rad_dino,0.264758,0.840909
rad_dino,0.255814,0.866667
rad_dino,0.237925,0.863636
rad_dino,0.221825,0.867133
rad_dino,0.203936,0.863636
rad_dino,0.187835,0.867769
rad_dino,0.173524,0.881818
rad_dino,0.155635,0.878788
rad_dino,0.141324,0.897727
rad_dino,0.125224,0.909091
rad_dino,0.110912,0.953846
rad_dino,0.091234,0.944444
rad_dino,0.071556,0.930233
rad_dino,0.051878,0.90625
rad_dino,0.033989,0.904762
rad_dino,0.017889,1.0
biomedclip,1.0,0.095084
biomedclip,1.0,0.095262
biomedclip,1.0,0.095441
biomedclip,1.0,0.095621
biomedclip,1.0,0.095801
biomedclip,1.0,0.095982
biomedclip,1.0,0.096164
biomedclip,1.0,0.096346
biomedclip,1.0,0.096529
biomedclip,1.0,0.096713
biomedclip,1.0,0.096897
biomedclip,0.998211,0.096909
biomedclip,0.998211,0.097094
