window,mmd2,dataset,drift_detected
174,0.100658774,tbx11k,True
175,0.09435296,tbx11k,True
176,0.116654396,tbx11k,True
177,0.11122763,tbx11k,True
178,0.11564553,tbx11k,True
179,0.1042825,tbx11k,True
180,0.11766243,tbx11k,True
181,0.098728776,tbx11k,True
182,0.10308635,tbx11k,True
183,0.096989155,tbx11k,True
184,0.2167443,pakistan,True
185,0.2373861,pakistan,True
186,0.23454475,pakistan,True
187,0.22420871,pakistan,True
188,0.21702266,pakistan,True
189,0.23036683,pakistan,True
190,0.22451687,pakistan,True
191,0.21758687,pakistan,True
192,0.22992265,pakistan,True
193,0.21082246,pakistan,True
194,0.15837312,pakistan,True
195,0.18110514,pakistan,True
196,0.17769694,pakistan,True
197,0.1757313,pakistan,True
198,0.17276931,pakistan,True
199,0.16338336,pakistan,True
200,0.17499912,pakistan,True
201,0.1649059,pakistan,True
202,0.17168319,pakistan,True
203,0.18483162,pakistan,True
204,0.17081213,pakistan,True
205,0.1736511,pakistan,True
206,0.17063463,pakistan,True
207,0.17204463,pakistan,True
208,0.17439294,pakistan,True
209,0.17676389,pakistan,True
210,0.1739471,pakistan,True
211,0.17803884,pakistan,True
212,0.15977716,pakistan,True
213,0.16833854,pakistan,True
214,0.17310727,pakistan,True
215,0.17272103,pakistan,True
216,0.1698128,pakistan,True
217,0.17176843,pakistan,True
218,0.17104053,pakistan,True
219,0.18265831,pakistan,True
220,0.17787421,pakistan,True
221,0.17688215,pakistan,True
222,0.16348171,pakistan,True
223,0.18251014,pakistan,True
224,0.19204295,pakistan,True
225,0.17707348,pakistan,True
226,0.16905785,pakistan,True
227,0.17354214,pakistan,True
228,0.17527533,pakistan,True
229,0.17532146,pakistan,True
230,0.17658436,pakistan,True
231,0.16797984,pakistan,True
232,0.1661632,pakistan,True
233,0.23251593,pakistan,True
234,0.22468185,pakistan,True
235,0.22142518,pakistan,True
236,0.2272675,pakistan,True
237,0.21813715,pakistan,True
238,0.20928848,pakistan,True
239,0.17530668,pakistan,True
240,0.17944014,pakistan,True
241,0.18901289,pakistan,True
242,0.1812495,pakistan,True
243,0.18069446,pakistan,True
